Strategy,Forecasting Horizon,Performance (V),Vmax,C,Cmax,AE0.5
pk,1m,22.31145308733108,47.71189744419655,497.0,1086.0,0.46263571815398774
pk,3m,46.68202422730303,47.71189744419655,506.0,1086.0,0.7221723843905924
pk,5m,47.71189744419655,47.71189744419655,467.0,1086.0,0.7150092081031307
ml,1m,33.26033425528642,47.71189744419655,508.0,1086.0,0.58243970269243
ml,3m,20.734056096607933,47.71189744419655,581.0,1086.0,0.48477931471165625
ml,5m,36.6836655095464,47.71189744419655,512.0,1086.0,0.6201563506979038
