Time,heap
2023-06-17 17:12:00,11375992.0
2023-06-17 17:17:00,49245932.0
2023-06-17 17:22:00,82791430.0
2023-06-17 17:27:00,93526630.0
2023-06-17 17:32:00,105825520.0
2023-06-17 17:37:00,111403764.0
2023-06-17 17:42:00,82196082.0
2023-06-17 17:47:00,64893812.0
2023-06-17 17:52:00,141421432.0
2023-06-17 17:57:00,162257848.0
2023-06-17 18:02:00,133892734.0
2023-06-17 18:07:00,119247126.0
2023-06-17 18:12:00,94544470.0
2023-06-17 18:17:00,70813764.0
2023-06-17 18:22:00,146117436.0
2023-06-17 18:27:00,157616620.0
2023-06-17 18:32:00,147280814.0
2023-06-17 18:37:00,137461860.0
2023-06-17 18:42:00,104656404.0
2023-06-17 18:47:00,78051876.0
2023-06-17 18:52:00,136769284.0
2023-06-17 18:57:00,158538850.0
2023-06-17 19:02:00,148699668.0
2023-06-17 19:07:00,129420006.0
2023-06-17 19:12:00,110525204.0
2023-06-17 19:17:00,85283972.0
2023-06-17 19:22:00,151340002.0
2023-06-17 19:27:00,180251944.0
2023-06-17 19:32:00,161504186.0
2023-06-17 19:37:00,148146078.0
2023-06-17 19:42:00,118211078.0
2023-06-17 19:47:00,78786576.0
2023-06-17 19:52:00,153505996.0
2023-06-17 19:57:00,173991874.0
2023-06-17 20:02:00,153335816.0
2023-06-17 20:07:00,141316866.0
2023-06-17 20:12:00,120174442.0
2023-06-17 20:17:00,91766638.0
2023-06-17 20:22:00,190337978.0
2023-06-17 20:27:00,220816900.0
2023-06-17 20:32:00,183716668.0
2023-06-17 20:37:00,127329754.0
2023-06-17 20:42:00,97143530.66666666
2023-06-17 20:47:00,88729824.0
2023-06-17 20:52:00,141437750.0
2023-06-17 20:57:00,178414954.0
2023-06-17 21:02:00,177804416.0
2023-06-17 21:07:00,162956890.0
2023-06-17 21:12:00,143518406.6666667
2023-06-17 21:17:00,106202574.0
2023-06-17 21:22:00,150595324.0
2023-06-17 21:27:00,175652902.0
2023-06-17 21:32:00,160470434.0
2023-06-17 21:37:00,145400356.0
2023-06-17 21:42:00,118693630.0
2023-06-17 21:47:00,94472872.0
2023-06-17 21:52:00,191081084.0
2023-06-17 21:57:00,213937368.0
2023-06-17 22:02:00,143413822.0
2023-06-17 22:07:00,137671882.0
2023-06-17 22:12:00,111258354.0
2023-06-17 22:17:00,81110652.0
2023-06-17 22:22:00,157646292.0
2023-06-17 22:27:00,182148362.0
2023-06-17 22:32:00,180899888.0
2023-06-17 22:37:00,159476910.0
2023-06-17 22:42:00,104097298.0
2023-06-17 22:47:00,76564890.0
2023-06-17 22:52:00,163158144.0
2023-06-17 22:57:00,180401658.0
2023-06-17 23:02:00,171193592.0
2023-06-17 23:07:00,159473080.0
2023-06-17 23:12:00,127384686.0
2023-06-17 23:17:00,113945808.0
2023-06-17 23:22:00,129234824.0
2023-06-17 23:27:00,153638684.0
2023-06-17 23:32:00,151502970.0
2023-06-17 23:37:00,143260092.0
2023-06-17 23:42:00,124905312.0
2023-06-17 23:47:00,95237510.0
2023-06-17 23:52:00,139646342.0
2023-06-17 23:57:00,157410204.0
2023-06-18 00:02:00,126044322.0
2023-06-18 00:07:00,136193294.0
2023-06-18 00:12:00,107134238.0
2023-06-18 00:17:00,74596030.0
2023-06-18 00:22:00,164441658.0
2023-06-18 00:27:00,180865972.0
2023-06-18 00:32:00,162818618.0
2023-06-18 00:37:00,160661408.0
2023-06-18 00:42:00,142097082.0
2023-06-18 00:47:00,73053866.0
2023-06-18 00:52:00,168750576.0
2023-06-18 00:57:00,182429280.0
2023-06-18 01:02:00,168889062.0
2023-06-18 01:07:00,153185890.0
2023-06-18 01:12:00,124216026.0
2023-06-18 01:17:00,102669188.0
2023-06-18 01:22:00,162224082.0
2023-06-18 01:27:00,172060650.0
2023-06-18 01:32:00,166451688.0
2023-06-18 01:37:00,140029992.0
2023-06-18 01:42:00,119480638.0
2023-06-18 01:47:00,96867248.0
2023-06-18 01:52:00,119539344.0
2023-06-18 01:57:00,148092546.0
2023-06-18 02:02:00,155341904.0
2023-06-18 02:07:00,137006832.0
2023-06-18 02:12:00,112069156.0
2023-06-18 02:17:00,78567938.0
2023-06-18 02:22:00,186783044.66666666
2023-06-18 02:27:00,205433052.0
2023-06-18 02:32:00,182658374.0
2023-06-18 02:37:00,159331216.0
2023-06-18 02:42:00,134678748.0
2023-06-18 02:47:00,72511978.0
2023-06-18 02:52:00,162487698.0
2023-06-18 02:57:00,185835900.0
2023-06-18 03:02:00,181898262.0
2023-06-18 03:07:00,155695356.0
2023-06-18 03:12:00,123416340.0
2023-06-18 03:17:00,78482256.0
2023-06-18 03:22:00,136165824.0
2023-06-18 03:27:00,165658382.0
2023-06-18 03:32:00,159384812.0
2023-06-18 03:37:00,141018210.0
2023-06-18 03:42:00,111651262.66666667
2023-06-18 03:47:00,87803278.0
2023-06-18 03:52:00,168522384.0
2023-06-18 03:57:00,206487774.0
2023-06-18 04:02:00,147796054.0
2023-06-18 04:07:00,137180996.0
2023-06-18 04:12:00,105867050.0
2023-06-18 04:17:00,75434256.0
2023-06-18 04:22:00,179890940.0
2023-06-18 04:27:00,200065300.0
2023-06-18 04:32:00,178031880.0
2023-06-18 04:37:00,155368308.0
2023-06-18 04:42:00,143990819.3333333
2023-06-18 04:47:00,68289152.0
2023-06-18 04:52:00,144140986.0
2023-06-18 04:57:00,165018602.0
2023-06-18 05:02:00,163165468.0
2023-06-18 05:07:00,151227392.0
2023-06-18 05:12:00,131722544.0
