Strategy,Forecasting Horizon,Performance (V),Vmax,C,Cmax,AE0.5
pk,1m,68.77301295820445,68.77301295820445,3213.0,3982.0,0.9034404821697639
pk,3m,68.65651020785113,68.77301295820445,3236.0,3982.0,0.9054814689445672
pk,5m,66.78783906873679,68.77301295820445,3184.0,3982.0,0.8853662987916712
ml,1m,63.29134316196447,68.77301295820445,2505.0,3982.0,0.7746870827850343
ml,3m,65.82387037405007,68.77301295820445,2496.0,3982.0,0.7919692139313265
ml,5m,63.92733392130226,68.77301295820445,2403.0,3982.0,0.7665032880150464
