Time,pods,conn-pool_jdbc_TradeDataSource,conn-pool_jms_TradeStreamerTCF,cpu,heap,jvm_total_scavenge,jvm_total_global,jvm_seconds_scavenge,jvm_seconds_global,memory,rt,tp,thread_pool
2023-05-23 18:19:00,1.0,0.0,0.0,0.0198518888888887,536870912.0,0.0,0.0,0.0,0.0,1167360.0,0.0,0.0,3.0
2023-05-23 18:24:00,2.0,11.0,12.25,1.170944807828889,1073741824.0,0.360291111111111,0.0,0.9728011885467288,0.0,2220032.0,0.0508943732265106,78.33333333333331,3.9166666666666665
2023-05-23 18:29:00,3.0,73.58333333333333,60.91666666666666,1.9811592674715155,1610612736.0,1.6888098853213838,0.0,0.9918586071428286,0.0,3444736.0,0.1383094624257498,383.2286289177745,7.0
2023-05-23 18:34:00,6.0,71.45,62.95,3.7448805999999992,2684354560.0,2.8,0.0222222222222222,0.98815812373414,0.8333194594894846,6553600.0,0.4345991676985087,708.753037037037,10.15
2023-05-23 18:39:00,6.0,79.41666666666666,76.08333333333333,3.06909106214114,3221225472.0,2.9778311139425435,0.0444444444444444,1.0064785522791837,1.111111111111108,6504448.0,0.4005933890713884,787.8813361610609,8.208333333333334
2023-05-23 18:44:00,5.0,84.8,83.85,2.216811359103941,2684354560.0,2.0889155573334515,0.0222222222222222,1.0101632420149944,1.1111111111110987,5541888.0,0.2312301062173933,506.2730967249669,6.65
2023-05-23 18:49:00,3.0,91.1875,80.4375,0.930171777777779,2147483648.0,0.5777777777777777,0.0,1.0508033000433972,0.0,4423680.0,0.2024462247512926,145.11111111111114,4.0
2023-05-23 18:54:00,2.0,117.5,82.125,0.5149414444444422,1073741824.0,0.2888888888888888,0.0,1.01084812623275,0.0,2220032.0,0.1032317445393449,78.73333333333332,3.75
2023-05-23 18:59:00,4.0,40.875,32.5,2.451023522711112,2147483648.0,1.5396166666666664,0.0228505555555555,0.9711822738772874,0.6855166666666657,4145152.0,0.1530211330738387,370.86239666666654,6.75
2023-05-23 19:04:00,4.0,91.625,84.1875,2.868515288888888,2147483648.0,3.5333333333333328,0.0222222222222222,0.9994040733340396,1.1111111111111076,4145152.0,0.2163747288775871,748.6666666666665,10.0
2023-05-23 19:09:00,4.0,94.0,88.3125,2.9175205555555546,2147483648.0,3.3999999999999995,0.0444444444444444,0.9980576721948348,0.9561752988047748,4145152.0,0.2560319379635786,814.1111111111109,10.6875
2023-05-23 19:14:00,4.0,101.5,98.25,2.031272066666672,2147483648.0,2.2,0.0222222222222222,0.9947178983779732,0.8333333333333394,4145152.0,0.164034758116006,517.6444444444444,6.8125
2023-05-23 19:19:00,3.0,94.4375,85.4375,0.9294207155222128,2147483648.0,0.6666666666666665,0.0222222222222222,1.0288657324230537,1.1111111111111045,4145152.0,0.1319732457953988,147.95555555555555,4.0
2023-05-23 19:24:00,2.0,114.875,75.625,0.5138996666666698,1073741824.0,0.2444444444444444,0.0,0.981012658227874,0.0,2277376.0,0.0977139349788625,76.42222222222222,3.875
2023-05-23 19:29:00,6.0,32.55,26.6,2.586247480703313,3221225472.0,1.4814802470781672,0.0878305114873572,0.9219295184148312,0.9552057919412908,6459392.0,0.1702349155665685,377.33930722222215,4.430555555555555
2023-05-23 19:34:00,6.0,87.16666666666667,78.66666666666666,2.857664422360142,3221225472.0,2.644537785054077,0.0666681482469201,1.0186257236290803,1.0225692320469992,6311936.0,0.2899524824770991,720.5347504435751,7.25
2023-05-23 19:39:00,4.0,92.9375,86.0625,3.063822526045093,2147483648.0,3.1999348206085383,0.0888869137558143,1.0019728338072422,0.914762099086873,3993600.0,0.2711750703526341,804.5574595838394,11.25
2023-05-23 19:44:00,4.0,90.375,86.0,2.028559511111113,2147483648.0,2.1333333333333333,0.0222222222222222,1.001121890054786,0.8333333333333334,3993600.0,0.1731395039486868,526.1333333333333,6.3125
2023-05-23 19:49:00,3.0,90.0,85.41666666666666,0.7990207333333323,1610612736.0,0.6888888888888888,0.0222222222222222,1.0125786163521957,1.111111111111114,3141632.0,0.1055410111150248,144.84444444444443,4.25
2023-05-23 19:54:00,1.0,121.125,79.125,0.5141026888888871,1073741824.0,0.3333333333333332,0.0222222222222222,1.0171402796571671,0.833333333333332,2080768.0,0.0875221320129047,69.06666666666665,3.125
2023-05-23 19:59:00,6.0,43.66666666666666,33.895833333333336,3.93986047205878,2147483648.0,1.8888474110943223,0.0888849386227397,1.029963707158689,0.9113115356832804,8245248.0,0.3431634696386682,375.57837656460606,7.937499999999999
2023-05-23 20:04:00,6.0,77.08333333333333,67.79166666666667,3.380107733333332,3221225472.0,3.3333333333333326,0.0666666666666666,1.0223164757173149,1.013231219205587,6180864.0,0.3855657062646556,739.8444444444443,8.625
2023-05-23 20:09:00,5.0,90.55,86.15,2.776527479338041,2684354560.0,3.3109644607387856,0.0666622227159901,0.9785268342743656,1.1111205040201966,4915200.0,0.2544355734161624,793.8767179777966,9.45
2023-05-23 20:14:00,4.0,88.625,84.25,1.906473311111117,2147483648.0,2.244444444444444,0.0,0.9945095375559088,0.0,3928064.0,0.167852288710946,509.1333333333332,7.3125
2023-05-23 20:19:00,3.0,82.3125,77.4375,0.6917739999999992,2147483648.0,0.5111111111111111,0.0222222222222222,1.0258596192099712,0.8333333333333418,3928064.0,0.1107453533748288,142.33333333333334,4.125
2023-05-23 20:24:00,1.0,111.5,72.375,0.4529257333333361,1073741824.0,0.2666666666666666,0.0222222222222222,1.0092449922958495,1.1111111111110965,2027520.0,0.0892363700240542,75.99999999999999,4.0
