Time,conn-pool_jdbc_TradeDataSource,conn-pool_jms_TradeStreamerTCF
2023-05-26 16:41:00,15.75,12.0
2023-05-26 16:42:00,24.5,20.75
2023-05-26 16:43:00,36.0,29.75
2023-05-26 16:44:00,53.0,45.0
2023-05-26 16:45:00,40.041666666666664,32.833333333333336
2023-05-26 16:46:00,55.125,47.375
2023-05-26 16:47:00,54.375,48.875
2023-05-26 16:48:00,74.625,67.625
2023-05-26 16:49:00,89.25,80.375
2023-05-26 16:50:00,45.6875,39.4375
2023-05-26 16:51:00,53.3125,47.375
2023-05-26 16:52:00,65.125,58.50000000000001
2023-05-26 16:53:00,65.625,59.5625
2023-05-26 16:54:00,71.1875,65.75
2023-05-26 16:55:00,83.6875,77.8125
2023-05-26 16:56:00,80.75,75.9375
2023-05-26 16:57:00,79.9375,75.1875
2023-05-26 16:58:00,89.625,85.4375
2023-05-26 16:59:00,82.6875,80.4375
2023-05-26 17:00:00,80.375,78.0625
2023-05-26 17:01:00,89.8125,87.0
2023-05-26 17:02:00,77.75,76.125
2023-05-26 17:03:00,75.25,74.91666666666666
2023-05-26 17:04:00,92.33333333333334,91.08333333333333
2023-05-26 17:05:00,84.33333333333333,81.83333333333333
2023-05-26 17:06:00,87.5,82.91666666666667
2023-05-26 17:07:00,107.41666666666666,97.08333333333333
2023-05-26 17:08:00,99.11111111111111,83.91666666666666
2023-05-26 17:09:00,102.875,87.375
2023-05-26 17:10:00,126.875,102.25
2023-05-26 17:11:00,111.5,81.375
2023-05-26 17:12:00,116.625,81.375
2023-05-26 17:13:00,130.0,92.375
2023-05-26 17:14:00,102.125,71.625
2023-05-26 17:15:00,72.27777777777779,51.416666666666664
2023-05-26 17:16:00,86.91666666666667,63.0
2023-05-26 17:17:00,68.83333333333334,55.583333333333336
2023-05-26 17:18:00,74.5,64.33333333333334
2023-05-26 17:19:00,90.83333333333334,79.16666666666667
2023-05-26 17:20:00,70.75,60.31249999999999
2023-05-26 17:21:00,72.5,66.125
2023-05-26 17:22:00,86.625,78.5625
2023-05-26 17:23:00,85.3125,78.75
2023-05-26 17:24:00,83.0625,81.1875
