Time,pods,cpu,cpu_limit,memory,memory_limit,rt,tp,costs
2023-03-19 17:45:00,1.0,0.0723792949475676,2.2,95326208.0,1152.0,0.0,0.0,0.001725085775
2023-03-19 17:50:00,1.0,0.0822006276492143,2.2,94691328.0,1152.0,0.0047391304347826,2.133,0.001725085775
2023-03-19 17:55:00,1.0,0.0778721627153824,2.2,94445568.0,1152.0,0.0048487804878048,3.4,0.001725085775
2023-03-19 18:00:00,1.0,0.0894597760880692,2.2,94969856.0,1152.0,0.0047793103448275,4.4,0.001725085775
2023-03-19 18:05:00,1.0,0.0872954191856383,2.2,95383552.0,1152.0,0.00484,3.867,0.001725085775
2023-03-19 18:10:00,1.0,0.0715353266346494,2.2,94961664.0,1152.0,0.0047684210526315,1.467,0.001725085775
2023-03-19 18:15:00,1.0,0.0711607169773574,2.2,97632256.0,1152.0,0.0047999999999999,0.067,0.001725085775
2023-03-19 18:20:00,1.0,0.0854029873086821,2.2,96202752.0,1152.0,0.0047333333333333,0.933,0.001725085775
2023-03-19 18:25:00,1.0,0.0839137152374137,2.2,96018432.0,1152.0,0.0047659574468085,4.0,0.001725085775
2023-03-19 18:30:00,1.0,0.0798181202219209,2.2,96108544.0,1152.0,0.0047836734693877,2.333,0.001725085775
2023-03-19 18:35:00,1.0,0.0872382026035347,2.2,96026624.0,1152.0,0.0048491228070175,3.667,0.001725085775
2023-03-19 18:40:00,1.0,0.0724060777241902,2.2,96129024.0,1152.0,0.01225,1.067,0.001725085775
2023-03-19 18:45:00,1.0,0.0743825272001747,2.2,97382400.0,1152.0,0.0047999999999999,0.067,0.001725085775
2023-03-19 18:50:00,1.0,0.0825814656221715,2.2,96935936.0,1152.0,0.0047333333333333,0.934,0.001725085775
2023-03-19 18:55:00,1.0,0.0815676924645266,2.2,97026048.0,1152.0,0.0048249999999999,3.6,0.001725085775
2023-03-19 19:00:00,1.0,0.081701440857179,2.2,96395264.0,1152.0,0.0047910447761194,3.867,0.001725085775
2023-03-19 19:05:00,1.0,0.0806210628269845,2.2,96612352.0,1152.0,0.0048565217391304,3.817,0.001725085775
2023-03-19 19:10:00,1.0,0.0622757008725856,2.2,96833536.0,1152.0,0.0047846153846153,1.067,0.001725085775
2023-03-19 19:15:00,1.0,0.0576014697193995,2.2,97484800.0,1152.0,0.0048,0.267,0.001725085775
2023-03-19 19:20:00,1.0,0.0780401104543721,2.2,97374208.0,1152.0,0.0045499999999999,0.8,0.001725085775
2023-03-19 19:25:00,1.0,0.072852825637179,2.2,96940032.0,1152.0,0.0047589743589743,3.333,0.001725085775
2023-03-19 19:30:00,1.0,0.0935810096404392,2.2,97054720.0,1152.0,0.0047894736842105,4.0,0.001725085775
2023-03-19 19:35:00,1.0,0.0862047319707209,2.2,97128448.0,1152.0,0.0048444444444444,4.067,0.001725085775
2023-03-19 19:40:00,1.0,0.0639506209315592,2.2,97136640.0,1152.0,0.0047866666666666,1.0,0.001725085775
2023-03-19 19:45:00,1.0,0.0768187326709231,2.2,98594816.0,1152.0,0.0047999999999999,0.067,0.001725085775
2023-03-19 19:50:00,1.0,0.0790365425847167,2.2,97730560.0,1152.0,0.0047454545454545,0.867,0.001725085775
2023-03-19 19:55:00,1.0,0.0801060790193715,2.2,97624064.0,1152.0,0.0047371428571428,2.8,0.001725085775
2023-03-19 20:00:00,1.0,0.0878558879650367,2.2,97591296.0,1152.0,0.0047944444444444,3.8,0.001725085775
2023-03-19 20:05:00,1.0,0.0843428802956792,2.2,97275904.0,1152.0,0.004848,3.667,0.001725085775
2023-03-19 20:10:00,1.0,0.0714556482192501,2.2,98496512.0,1152.0,0.00725,1.733,0.001725085775
2023-03-19 20:15:00,1.0,0.0780065058404853,2.2,98054144.0,1152.0,0.0,0.0,0.001725085775
2023-03-19 20:20:00,1.0,0.0858688233268184,2.2,97841152.0,1152.0,0.00475,0.8,0.001725085775
2023-03-19 20:25:00,1.0,0.0759545208309203,2.2,97841152.0,1152.0,0.0047608695652173,3.733,0.001725085775
2023-03-19 20:30:00,1.0,0.0967142430299898,2.2,97947648.0,1152.0,0.0048972222222222,4.867,0.001725085775
2023-03-19 20:35:00,1.0,0.0881137792587594,2.2,97792000.0,1152.0,0.0047599999999999,4.133,0.001725085775
2023-03-19 20:40:00,1.0,0.0739070965262619,2.2,98951168.0,1152.0,0.0047578947368421,1.333,0.001725085775
2023-03-19 20:45:00,1.0,0.0760785014824394,2.2,98295808.0,1152.0,0.0047999999999999,0.0,0.001725085775
2023-03-19 20:50:00,1.0,0.0758024012720378,2.2,98525184.0,1152.0,0.0047379310344827,2.933,0.001725085775
2023-03-19 20:55:00,1.0,0.0800991329826825,2.2,98414592.0,1152.0,0.0046999999999999,2.667,0.001725085775
2023-03-19 21:00:00,1.0,0.1002112990938291,2.2,98160640.0,1152.0,0.0047746478873239,5.133,0.001725085775
2023-03-19 21:05:00,1.0,0.0783431390865662,2.2,97939456.0,1152.0,0.004766037735849,3.8,0.001725085775
2023-03-19 21:10:00,1.0,0.0759026232480889,2.2,97898496.0,1152.0,0.0049294117647058,1.733,0.001725085775
2023-03-19 21:15:00,1.0,0.0720413007979325,2.2,98811904.0,1152.0,0.0048,0.2,0.001725085775
