Time,thread_pool
2023-05-24 22:27:00,7.25
2023-05-24 22:28:00,12.25
2023-05-24 22:29:00,9.125
2023-05-24 22:30:00,9.125
2023-05-24 22:31:00,7.972222222222223
2023-05-24 22:32:00,8.958333333333332
2023-05-24 22:33:00,5.8
2023-05-24 22:34:00,6.5
2023-05-24 22:35:00,6.9
2023-05-24 22:36:00,8.1
2023-05-24 22:37:00,7.15
2023-05-24 22:38:00,8.8
2023-05-24 22:39:00,8.25
2023-05-24 22:40:00,7.5
2023-05-24 22:41:00,7.2
2023-05-24 22:42:00,8.625
2023-05-24 22:43:00,8.25
2023-05-24 22:44:00,6.625
2023-05-24 22:45:00,6.3125
2023-05-24 22:46:00,5.4375
2023-05-24 22:47:00,5.5625
2023-05-24 22:48:00,4.625
2023-05-24 22:49:00,4.1875
2023-05-24 22:50:00,3.416666666666667
2023-05-24 22:51:00,3.75
2023-05-24 22:52:00,3.416666666666667
2023-05-24 22:53:00,3.3333333333333335
2023-05-24 22:54:00,3.25
