Time,pods,conn-pool_jdbc_TradeDataSource,conn-pool_jms_TradeStreamerTCF,cpu,heap,jvm_total_scavenge,jvm_total_global,jvm_seconds_scavenge,jvm_seconds_global,memory,rt,tp,thread_pool,rt_jmeter
2023-05-25 11:25:00,1.0,13.0,9.666666666666668,0.9955710666666664,536870912.0,0.3333333333333333,0.0222222222222222,0.9419295839048932,1.1111111111111376,892928.0,0.0577812619908481,49.82670611111111,3.75,67.92562401457143
2023-05-25 11:26:00,1.0,30.0,23.25,0.6679663333333337,536870912.0,0.2444444444444444,0.0,0.9899999999999995,0.0,892928.0,0.0560199215152216,71.53333333333332,4.0,62.676565034644966
2023-05-25 11:27:00,1.0,43.5,36.5,0.8116987333333332,536870912.0,0.4666666666666666,0.0222222222222222,0.9871345029239788,1.1111111111111167,892928.0,0.0473161824524001,114.86666666666666,5.25,98.600018467864
2023-05-25 11:28:00,1.0,63.5,54.0,0.897349044444445,536870912.0,0.711111111111111,0.0222222222222222,1.002127249396844,1.110975077826183,892928.0,0.0418389009129202,173.88888888888886,8.25,68.34626205094709
2023-05-25 11:29:00,1.0,80.5,68.75,1.0398959555555556,536870912.0,1.0444444444444445,0.0,1.011074477977851,0.0,892928.0,0.0376622546607574,236.24444444444444,8.5,76.90193266869956
2023-05-25 11:30:00,2.0,49.875,42.75,1.7892267149111107,1073741824.0,1.2227444444444442,0.0312155555555555,0.9013408211964145,0.4682333333333321,1990656.0,0.0934531274388074,317.1093022222222,6.875,92.4422263346272
2023-05-25 11:31:00,2.0,56.25,49.5,2.383495555555555,1073741824.0,1.4888888888888887,0.0444444444444444,0.9926188367286676,0.8333333333333197,1990656.0,0.1554372929003143,408.7572744444445,10.25,104.46746243773562
2023-05-25 11:32:00,2.0,65.0,58.25,2.2534322666666675,1073741824.0,1.7777777777777777,0.0222222222222222,1.0133192575243546,1.1111037101236725,1990656.0,0.1186192770756042,472.911111111111,10.875,115.49787105563895
2023-05-25 11:33:00,3.0,82.625,73.75,2.457409911111112,1610612736.0,1.822222222222222,0.0,0.9935483870967748,0.0,3153920.0,0.1694838460544001,502.22222222222223,10.333333333333332,148.3400408270694
2023-05-25 11:34:00,3.0,54.5,48.66666666666667,3.200157028398218,1610612736.0,1.7778493906730377,0.088896297119433,0.9847262839411256,0.959603831977754,3047424.0,0.1497603144430199,528.2364583333333,9.083333333333332,145.19107694576238
2023-05-25 11:35:00,3.0,64.0,57.5,2.866167422222223,1610612736.0,2.555555555555556,0.0,0.9987414599065102,0.0,3047424.0,0.1539707022261343,717.4222222222222,10.0,108.2156919686533
2023-05-25 11:36:00,3.0,75.08333333333333,69.91666666666667,2.7459996888888893,1610612736.0,2.3999999999999995,0.0,1.0214815907191674,0.0,3047424.0,0.1461918641684001,768.6444444444442,11.5,95.8557385004278
2023-05-25 11:37:00,4.0,75.83333333333333,69.41666666666666,2.632240711111109,2147483648.0,2.133333333333333,0.0222222222222222,0.9772286821705448,1.1111111111111225,4173824.0,0.2195861132836079,647.5333333333332,10.5625,147.5255767965219
2023-05-25 11:38:00,4.0,66.1875,61.79166666666667,3.8456550888888894,2147483648.0,2.1555555555555554,0.0666666666666666,1.0163086714399407,1.1111111111111136,3989504.0,0.2761988382799584,723.4269727777775,10.875,129.47324718757568
2023-05-25 11:39:00,4.0,77.5625,74.4375,3.3697265111111108,2147483648.0,3.0,0.0444444444444444,0.991642030731048,1.1111111111111025,3989504.0,0.3034803122788634,782.0444444444444,11.1875,127.68541546784782
2023-05-25 11:40:00,4.0,73.625,68.1875,2.767237225005003,2147483648.0,2.4891987457468807,0.0444607527001282,0.9877803663596604,0.981320070557435,3989504.0,0.2324873491190709,779.8716169635509,9.9375,113.94785853876934
2023-05-25 11:41:00,4.0,84.75,79.8125,3.140544977777778,2147483648.0,3.0,0.0444444444444444,0.9930465015210816,1.1111111111111007,3989504.0,0.2572534547654235,765.5555555555555,10.5,120.6830825999292
2023-05-25 11:42:00,4.0,93.75,91.9375,2.67717511111111,2147483648.0,2.6,0.0444444444444444,1.0086423804835412,0.9796437659033098,3989504.0,0.2081742974604865,758.0666666666667,9.375,99.89628783461916
2023-05-25 11:43:00,4.0,86.875,82.9375,2.5776524000000016,2147483648.0,2.7777777777777777,0.0222222222222222,0.9940397024777096,1.11111111111112,3989504.0,0.2105302720342013,727.1333333333334,10.5,102.7562157215329
2023-05-25 11:44:00,4.0,85.625,85.125,2.298297822222221,2147483648.0,2.333333333333333,0.0222222222222222,0.9942291838417142,1.1111111111110892,3989504.0,0.175761100114153,639.9777777777778,8.75,95.32602791290034
2023-05-25 11:45:00,4.0,94.875,94.25,2.0956465111111164,2147483648.0,2.088888888888889,0.0444444444444444,0.9903744505647388,1.1111111111111152,3989504.0,0.1615012670072994,577.4888888888888,5.875,85.2416343102806
2023-05-25 11:46:00,4.0,86.5625,81.9375,1.8874055555555536,2147483648.0,1.7777777777777777,0.0222222222222222,0.9848007284443566,1.111111111111109,3989504.0,0.15354554693405,474.8444444444445,6.875,83.62745902806854
2023-05-25 11:47:00,4.0,88.25,84.6875,1.5861969111111154,2147483648.0,1.422222222222222,0.0,1.002148127393299,0.0,3989504.0,0.1565173565495374,422.3777777777778,5.75,84.36761341137543
2023-05-25 11:48:00,4.0,94.9375,91.1875,1.4201000888888855,2147483648.0,0.9777777777777776,0.0666666666666666,1.0281054317751752,1.1111111111111232,3989504.0,0.1509105758536408,335.55555555555554,5.5,79.9903813139059
