Time,pods,cpu,heap,jvm_total_MarkSweepCompact,jvm_total_Copy,jvm_seconds_Copy,jvm_seconds_MarkSweepCompact,memory,rt,tp,rt_jmeter
2023-06-18 13:47:00,1.0,0.0714357631317245,13316662.0,0.0,0.1111111111111111,1.050228310502285,0.0,1216512.0,0.0140555480133333,2.810683703703704,21.17585893192076
2023-06-18 13:48:00,1.0,0.1053375717052648,16574544.0,0.0,0.1999999999999999,0.986394557823123,0.0,1216512.0,0.0617639528039999,10.958697777777775,25.701253088845007
2023-06-18 13:49:00,1.0,0.4222848060430337,19732256.0,0.0,0.5111111111111111,1.000000000000001,0.0,1216512.0,0.1640835016106666,41.6,14.06617595740495
2023-06-18 13:50:00,1.0,0.7339590040493457,18603406.0,0.0,1.0,1.0081300813008132,0.0,1216512.0,0.345348826941333,90.33333333333331,13.723812723021783
2023-06-18 13:51:00,1.0,0.6058739280864626,19174296.0,0.0222222222222222,1.5555555555555554,0.9928213463361788,1.111111111111111,1216512.0,0.5810625274773331,154.42222222222222,13.909916483802869
2023-06-18 13:52:00,1.0,0.5695786680637418,22530706.0,0.0,1.622222222222222,0.9908883826879262,0.0,1216512.0,0.864707411457333,233.42222222222225,12.227862767274852
2023-06-18 13:53:00,2.0,1.1242981369397007,47157534.0,0.0222222222222222,1.8709933333333333,0.9750710071007076,0.8333333333333328,2392064.0,3.1102582555959977,294.55555555555554,44.527087934441255
2023-06-18 13:54:00,2.0,1.1313069109038312,46725748.0,0.0222222222222222,1.8666666666666665,1.0059719068046065,1.1111111111111105,2293760.0,4.058657236585338,359.08888888888885,64.44216510803756
2023-06-18 13:55:00,2.0,1.5015199201806813,61537630.0,0.0222222222222222,2.844444444444444,0.9517543859649116,0.833333333333333,2293760.0,2.0302182660500003,477.5761533333333,35.41399874930844
2023-06-18 13:56:00,3.0,1.3707624521334831,55155208.0,0.0,2.9777777777777774,1.0017472335468829,0.0,3403776.0,2.1584707847980003,574.4,31.861072520734385
2023-06-18 13:57:00,3.0,1.4104374809061722,76558728.0,0.0,3.600557185619869,1.0219975934127097,0.0,3276800.0,1.9859874288802883,673.8627070922616,24.401654467809657
2023-06-18 13:58:00,3.0,1.832102155170472,85454904.0,0.0,4.71111111111111,1.0028675501821271,0.0,3276800.0,1.459475837455556,752.8057840740739,19.722910605301266
2023-06-18 13:59:00,4.0,2.128582645859699,102075830.0,0.0,5.466666666666666,1.0111828634430602,0.0,4251648.0,1.6469045621742244,796.8666666666667,21.712284690382564
2023-06-18 14:00:00,4.0,1.5942539023338418,108238468.0,0.0222222222222222,6.155555555555555,1.0057883277574198,1.1111111111111105,4251648.0,1.551222746031112,858.7333333333332,18.78881505435805
2023-06-18 14:01:00,4.0,1.6234115929168385,107462148.0,0.0,6.334630422496763,0.9897119651088052,0.0,4251648.0,1.1611519671145256,851.1138112672643,18.46043978835448
2023-06-18 14:02:00,4.0,1.648679903130288,105706070.0,0.0222222222222222,6.822271607133156,1.0031207732545784,1.1111111111111085,4251648.0,1.080604147368236,887.9184773644259,16.57348244014584
2023-06-18 14:03:00,4.0,1.4744391862154744,116669744.0,0.0,6.577777777777777,0.980599647266311,0.0,4251648.0,1.0800840817416688,903.4444444444443,16.242822474425992
2023-06-18 14:04:00,4.0,1.4586095907082184,119607902.0,0.0,6.0666666666666655,0.9972044486302624,0.0,4251648.0,1.009470674074369,857.8222222222222,16.237264784195187
2023-06-18 14:05:00,4.0,1.387943434147182,110402452.0,0.0,5.800080994853863,1.001968237042394,0.0,4251648.0,0.959240647830555,825.8786519295542,16.375380608222756
2023-06-18 14:06:00,4.0,1.3877875062835163,128952930.0,0.0,5.755818787151339,1.001678190021706,0.0,4251648.0,0.9098328361449426,772.4741307829007,16.608205389078837
2023-06-18 14:07:00,4.0,1.3005953701446824,123457444.0,0.0222222222222222,4.7333333333333325,0.997834042871012,0.8333333333333328,4251648.0,0.7837716383033331,670.3777777777775,16.518268072464043
2023-06-18 14:08:00,4.0,1.2505237036653978,121673068.0,0.0,3.888888888888889,0.9992905645079596,0.0,4251648.0,0.6980516359210038,603.4888888888889,16.428700621004868
2023-06-18 14:09:00,4.0,1.134731324446924,126302682.0,0.0,3.311111111111111,0.997150997150991,0.0,4251648.0,0.5507442603846646,498.9777777777777,15.900386095024066
2023-06-18 14:10:00,4.0,0.8759263982288925,130915086.0,0.0,2.755555555555555,0.989322012093144,0.0,4251648.0,0.4271705255126674,411.8666666666666,14.477101576499615
2023-06-18 14:11:00,3.0,0.7019009115272545,134313354.0,0.0,1.844444444444444,1.003012581959953,0.0,4251648.0,0.3988707847626642,298.1777777777777,13.450456022525335
2023-06-18 14:12:00,3.0,0.5481661992803663,111266486.0,0.0222222222222222,1.3777160562406645,0.9814111728897776,0.8333333333333334,3276800.0,0.2588466008299667,222.1925934155464,11.38747237103369
2023-06-18 14:13:00,3.0,0.3861435817960065,110720948.0,0.0,0.8444444444444443,1.003148897885714,0.0,3276800.0,0.1490137649004451,145.95555555555555,9.732034525881016
2023-06-18 14:14:00,3.0,0.2308904708326352,114324304.0,0.0,0.5333333333333332,1.0058737151248072,0.0,3276800.0,0.0825382877693357,84.04444444444444,9.465864464956008
2023-06-18 14:15:00,3.0,0.1008082178185933,117094470.0,0.0,0.2888888888888888,1.0139416983523977,0.0,3276800.0,0.0382056579075588,34.422222222222224,10.527950963675432
2023-06-18 14:16:00,3.0,0.0415393444440602,116716938.0,0.0,0.1555555555555555,1.0215053763441475,0.0,3276800.0,0.0086031782399957,7.7555555555555555,10.64356580786791
