Time,jvm_total_Copy,jvm_total_MarkSweepCompact
2023-06-18 17:21:00,0.1111111111111111,0.0
2023-06-18 17:22:00,0.19999999999999998,0.0
2023-06-18 17:23:00,0.488856298468991,0.0
2023-06-18 17:24:00,0.9554918560984824,0.02222074083949959
2023-06-18 17:25:00,0.9553008086732427,0.0
2023-06-18 17:26:00,1.8664148707694586,0.02222222222222222
2023-06-18 17:27:00,2.5332548200490335,0.02222222222222222
2023-06-18 17:28:00,2.4445111155558514,0.022223703802475722
2023-06-18 17:29:00,2.844444444444444,0.0
2023-06-18 17:30:00,3.222222222222222,0.0
2023-06-18 17:31:00,3.5778696357534945,0.0
2023-06-18 17:32:00,4.1556592661733,0.02222222222222222
2023-06-18 17:33:00,5.243563648026843,0.0
2023-06-18 17:34:00,6.533333333333333,0.0
2023-06-18 17:35:00,5.955555555555555,0.0
2023-06-18 17:36:00,5.377777777777777,0.0
2023-06-18 17:37:00,5.3999999999999995,0.0
2023-06-18 17:38:00,4.8812495706228916,0.0
2023-06-18 17:39:00,3.7554232216395578,0.02222222222222222
2023-06-18 17:40:00,3.266666666666666,0.0
2023-06-18 17:41:00,2.8666666666666663,0.0
2023-06-18 17:42:00,2.6228626064527605,0.0
2023-06-18 17:43:00,2.222222222222222,0.0
2023-06-18 17:44:00,1.8282216053443163,0.0
2023-06-18 17:45:00,1.7555555555555555,0.02222222222222222
2023-06-18 17:46:00,1.5777777777777777,0.0
2023-06-18 17:47:00,1.0666666666666664,0.0
2023-06-18 17:48:00,0.711124939500795,0.0
2023-06-18 17:49:00,0.33333333333333326,0.0
2023-06-18 17:50:00,0.15427888888888888,0.0
2023-06-18 17:51:00,0.06666469153359207,0.0
2023-06-18 17:52:00,0.11111111111111109,0.0
2023-06-18 17:53:00,0.24443555614810863,0.0
2023-06-18 17:54:00,0.39999999999999997,0.02222222222222222
2023-06-18 17:55:00,0.5680555555555555,0.0
2023-06-18 17:56:00,0.7777777777777777,0.0
2023-06-18 17:57:00,1.0888888888888888,0.0
2023-06-18 17:58:00,1.3555555555555554,0.0
2023-06-18 17:59:00,1.4666666666666666,0.0
2023-06-18 18:00:00,1.4887565549728912,0.0
2023-06-18 18:01:00,1.7,0.0
2023-06-18 18:02:00,3.977929900206698,0.06667012399459668
2023-06-18 18:03:00,6.488888888888889,0.0
2023-06-18 18:04:00,6.911212356928547,0.0222246916324036
2023-06-18 18:05:00,7.599999999999998,0.0
2023-06-18 18:06:00,7.933333333333334,0.02222222222222222
2023-06-18 18:07:00,6.866762473393878,0.0
2023-06-18 18:08:00,6.577777777777777,0.0
2023-06-18 18:09:00,6.222222222222221,0.02222222222222222
2023-06-18 18:10:00,5.466666666666666,0.0
2023-06-18 18:11:00,4.662805555555556,0.0
2023-06-18 18:12:00,3.5777777777777775,0.0
2023-06-18 18:13:00,3.3999999999999995,0.0
2023-06-18 18:14:00,2.622222222222222,0.0
2023-06-18 18:15:00,2.0444444444444443,0.0
2023-06-18 18:16:00,1.543950123895728,0.0
2023-06-18 18:17:00,1.0888888888888888,0.0
2023-06-18 18:18:00,0.6889125968073335,0.0
2023-06-18 18:19:00,0.33333333333333326,0.0
2023-06-18 18:20:00,0.19999999999999996,0.0
2023-06-18 18:21:00,0.1111111111111111,0.0
2023-06-18 18:22:00,0.11112691920090104,0.0
2023-06-18 18:23:00,0.2666666666666666,0.0
2023-06-18 18:24:00,0.5111111111111111,0.0
2023-06-18 18:25:00,0.7555555555555555,0.0
2023-06-18 18:26:00,1.111111111111111,0.02222222222222222
2023-06-18 18:27:00,1.2666666666666666,0.0
2023-06-18 18:28:00,1.6222222222222218,0.0
2023-06-18 18:29:00,2.82166418733394,0.0
2023-06-18 18:30:00,3.444444444444444,0.0
2023-06-18 18:31:00,3.8222548162634387,0.0
2023-06-18 18:32:00,3.999999999999999,0.0
2023-06-18 18:33:00,2.9111111111111105,0.0
2023-06-18 18:34:00,3.3776513692610033,0.02222024708914763
2023-06-18 18:35:00,3.333333333333333,0.0
2023-06-18 18:36:00,3.5111111111111106,0.0
2023-06-18 18:37:00,3.355555555555555,0.0
2023-06-18 18:38:00,3.2436873510120074,0.0
2023-06-18 18:39:00,3.133333333333333,0.04444444444444444
2023-06-18 18:40:00,3.88896593468355,0.0
2023-06-18 18:41:00,3.8666666666666663,0.0
2023-06-18 18:42:00,3.555512595456599,0.0
2023-06-18 18:43:00,3.021598246549375,0.0
2023-06-18 18:44:00,2.378112690791026,0.0
2023-06-18 18:45:00,2.0224771052703137,0.02222716159146477
2023-06-18 18:46:00,1.6888888888888887,0.0
2023-06-18 18:47:00,1.088908152132007,0.0
2023-06-18 18:48:00,0.7555555555555555,0.0
2023-06-18 18:49:00,0.38215851878188123,0.0
2023-06-18 18:50:00,0.17777777777777776,0.0
2023-06-18 18:51:00,0.08888888888888888,0.0
2023-06-18 18:52:00,0.15555555555555553,0.0
2023-06-18 18:53:00,0.2444444444444444,0.0
2023-06-18 18:54:00,0.3723266666666666,0.0
