Time,heap
2023-06-18 17:21:00,16923300.0
2023-06-18 17:22:00,13793138.0
2023-06-18 17:23:00,19427576.0
2023-06-18 17:24:00,18658812.0
2023-06-18 17:25:00,44351739.333333336
2023-06-18 17:26:00,48328922.0
2023-06-18 17:27:00,56901372.0
2023-06-18 17:28:00,61167376.0
2023-06-18 17:29:00,58504164.0
2023-06-18 17:30:00,66469354.0
2023-06-18 17:31:00,80490116.0
2023-06-18 17:32:00,84579996.0
2023-06-18 17:33:00,90088314.0
2023-06-18 17:34:00,92668254.0
2023-06-18 17:35:00,92600382.0
2023-06-18 17:36:00,97943910.0
2023-06-18 17:37:00,107434308.0
2023-06-18 17:38:00,95294596.66666667
2023-06-18 17:39:00,85363688.0
2023-06-18 17:40:00,91078272.0
2023-06-18 17:41:00,84863946.0
2023-06-18 17:42:00,87666510.0
2023-06-18 17:43:00,85318558.0
2023-06-18 17:44:00,104571477.33333333
2023-06-18 17:45:00,105917666.0
2023-06-18 17:46:00,113993136.0
2023-06-18 17:47:00,113188140.0
2023-06-18 17:48:00,122635796.0
2023-06-18 17:49:00,123404466.0
2023-06-18 17:50:00,122014011.33333333
2023-06-18 17:51:00,91753618.0
2023-06-18 17:52:00,100383404.0
2023-06-18 17:53:00,99105188.0
2023-06-18 17:54:00,94067616.0
2023-06-18 17:55:00,96599316.66666667
2023-06-18 17:56:00,54699430.0
2023-06-18 17:57:00,62204614.0
2023-06-18 17:58:00,60660734.0
2023-06-18 17:59:00,61531712.0
2023-06-18 18:00:00,59672646.0
2023-06-18 18:01:00,102866180.0
2023-06-18 18:02:00,108812644.0
2023-06-18 18:03:00,117478214.0
2023-06-18 18:04:00,112341650.0
2023-06-18 18:05:00,100390594.0
2023-06-18 18:06:00,120734494.0
2023-06-18 18:07:00,125435004.0
2023-06-18 18:08:00,131556148.0
2023-06-18 18:09:00,137012284.0
2023-06-18 18:10:00,130906362.0
2023-06-18 18:11:00,139057700.0
2023-06-18 18:12:00,126656276.0
2023-06-18 18:13:00,124231066.0
2023-06-18 18:14:00,123834996.0
2023-06-18 18:15:00,126708596.0
2023-06-18 18:16:00,137112190.0
2023-06-18 18:17:00,104238410.0
2023-06-18 18:18:00,105548430.0
2023-06-18 18:19:00,109471078.0
2023-06-18 18:20:00,109601414.0
2023-06-18 18:21:00,109556992.0
2023-06-18 18:22:00,82914342.0
2023-06-18 18:23:00,76105354.0
2023-06-18 18:24:00,82189380.0
2023-06-18 18:25:00,84720408.0
2023-06-18 18:26:00,88376372.0
2023-06-18 18:27:00,106823466.0
2023-06-18 18:28:00,111920022.0
2023-06-18 18:29:00,117554832.0
2023-06-18 18:30:00,128373950.0
2023-06-18 18:31:00,127504646.0
2023-06-18 18:32:00,122185814.0
2023-06-18 18:33:00,132080080.0
2023-06-18 18:34:00,111856784.0
2023-06-18 18:35:00,101511874.0
2023-06-18 18:36:00,105657198.0
2023-06-18 18:37:00,103219188.0
2023-06-18 18:38:00,121759872.0
2023-06-18 18:39:00,110576864.0
2023-06-18 18:40:00,103734940.0
2023-06-18 18:41:00,109804658.0
2023-06-18 18:42:00,110668718.0
2023-06-18 18:43:00,120753288.0
2023-06-18 18:44:00,130814416.0
2023-06-18 18:45:00,136144498.0
2023-06-18 18:46:00,142228962.0
2023-06-18 18:47:00,134387848.0
2023-06-18 18:48:00,143922448.0
2023-06-18 18:49:00,130081576.0
2023-06-18 18:50:00,123726410.0
2023-06-18 18:51:00,129003060.0
2023-06-18 18:52:00,126318064.0
2023-06-18 18:53:00,127146304.0
2023-06-18 18:54:00,125154288.0
2023-06-18 18:55:00,104893876.0
2023-06-18 18:56:00,103535748.0
2023-06-18 18:57:00,120720276.0
2023-06-18 18:58:00,113746724.0
2023-06-18 18:59:00,122500642.0
2023-06-18 19:00:00,135627186.0
2023-06-18 19:01:00,139121346.0
2023-06-18 19:02:00,149671032.0
2023-06-18 19:03:00,149269058.0
2023-06-18 19:04:00,130648636.0
2023-06-18 19:05:00,144095784.0
2023-06-18 19:06:00,124285972.0
2023-06-18 19:07:00,131404394.0
2023-06-18 19:08:00,128460150.0
2023-06-18 19:09:00,135509958.0
2023-06-18 19:10:00,125054400.0
2023-06-18 19:11:00,136149870.0
2023-06-18 19:12:00,128169222.0
2023-06-18 19:13:00,142147706.0
2023-06-18 19:14:00,136401060.0
2023-06-18 19:15:00,151516140.0
2023-06-18 19:16:00,135352876.0
2023-06-18 19:17:00,128634766.0
2023-06-18 19:18:00,112541604.0
2023-06-18 19:19:00,117986872.0
2023-06-18 19:20:00,119197596.0
2023-06-18 19:21:00,120112994.0
2023-06-18 19:22:00,125701744.0
2023-06-18 19:23:00,60315800.0
2023-06-18 19:24:00,68386242.0
2023-06-18 19:25:00,63660050.0
2023-06-18 19:26:00,78808578.0
2023-06-18 19:27:00,72281262.0
2023-06-18 19:28:00,67772476.0
2023-06-18 19:29:00,79237360.0
2023-06-18 19:30:00,86065512.0
2023-06-18 19:31:00,87052494.0
2023-06-18 19:32:00,81894452.0
2023-06-18 19:33:00,98662250.0
2023-06-18 19:34:00,111734942.0
2023-06-18 19:35:00,111324468.0
2023-06-18 19:36:00,114066322.0
2023-06-18 19:37:00,124966926.0
2023-06-18 19:38:00,134591342.0
2023-06-18 19:39:00,138482518.0
2023-06-18 19:40:00,142771796.0
2023-06-18 19:41:00,138866086.0
2023-06-18 19:42:00,145690636.0
2023-06-18 19:43:00,148475888.0
2023-06-18 19:44:00,154072448.0
2023-06-18 19:45:00,154237443.3333333
2023-06-18 19:46:00,144834936.0
2023-06-18 19:47:00,133356220.0
2023-06-18 19:48:00,147433378.0
2023-06-18 19:49:00,144023710.0
2023-06-18 19:50:00,138123442.0
2023-06-18 19:51:00,132163900.0
2023-06-18 19:52:00,103526356.0
2023-06-18 19:53:00,114886540.0
2023-06-18 19:54:00,113014756.0
2023-06-18 19:55:00,116869292.0
2023-06-18 19:56:00,103157050.0
2023-06-18 19:57:00,69217130.0
2023-06-18 19:58:00,78726334.0
2023-06-18 19:59:00,74276976.0
2023-06-18 20:00:00,79691668.0
2023-06-18 20:01:00,90966136.0
2023-06-18 20:02:00,94992866.0
2023-06-18 20:03:00,98474914.0
2023-06-18 20:04:00,103756730.0
2023-06-18 20:05:00,106690852.0
2023-06-18 20:06:00,101741818.0
2023-06-18 20:07:00,127838060.0
2023-06-18 20:08:00,134679948.0
2023-06-18 20:09:00,147777598.0
2023-06-18 20:10:00,148585224.0
2023-06-18 20:11:00,147883538.0
2023-06-18 20:12:00,167247214.0
2023-06-18 20:13:00,174104606.0
2023-06-18 20:14:00,163277590.0
2023-06-18 20:15:00,176204404.0
2023-06-18 20:16:00,171838530.0
2023-06-18 20:17:00,163027270.0
2023-06-18 20:18:00,154901512.0
2023-06-18 20:19:00,149763484.0
2023-06-18 20:20:00,169324504.0
2023-06-18 20:21:00,160252044.0
