Strategy,Forecasting Horizon,Performance (V),Vmax,C,Cmax,AE0.5
pk,1m,121.137786933086,158.40292777444023,540.0,1448.0,0.5688363987934086
pkl,1m,137.578376311654,158.40292777444023,604.0,1448.0,0.6428306869189384
ml,1m,127.7687408268756,158.40292777444023,581.0,1448.0,0.6039245118181796
pk,3m,125.50552869024652,158.40292777444023,500.0,1448.0,0.5688110528972371
pkl,3m,126.902498280651,158.40292777444023,495.0,1448.0,0.5714940782890708
ml,3m,158.40292777444023,158.40292777444023,705.0,1448.0,0.743439226519337
pk,5m,148.3400408270694,158.40292777444023,554.0,1448.0,0.6595347662971262
pkl,5m,142.1064037885779,158.40292777444023,546.0,1448.0,0.6370958144561901
ml,5m,131.98248412810133,158.40292777444023,669.0,1448.0,0.6476119636972064
