Time,pods,cpu,heap,jvm_total_MarkSweepCompact,jvm_total_Copy,jvm_seconds_Copy,jvm_seconds_MarkSweepCompact,memory,rt,tp
2023-06-17 17:13:00,1.0,0.2753448699095711,14443890.0,0.0,0.2888888888888888,1.006463527239004,0.0,1052672.0,0.0782801565506666,13.166335
2023-06-17 17:16:00,2.0,1.0695334928275428,42425938.0,0.0222222222222222,1.1257866666666665,0.9470429643827212,0.8333333333333318,2502656.0,1.1870686006986664,152.1111111111111
2023-06-17 17:19:00,3.0,1.4749334376136227,71548464.0,0.0222162978761219,3.288734855890281,1.0235041847660862,1.1112000315891415,3649536.0,0.6150826136722894,401.881837265094
2023-06-17 17:22:00,3.0,1.0973384854860104,82791430.0,0.0,5.022222222222221,1.0016142050040404,0.0,3649536.0,0.9892869940324454,683.1333333333332
2023-06-17 17:25:00,3.0,1.2155217336701858,91717910.0,0.0,5.622222222222222,1.006154612877842,0.0,3649536.0,1.308368195914022,878.111111111111
2023-06-17 17:28:00,3.0,1.1641249148520227,102802192.0,0.0,5.422222222222222,0.9964821525756244,0.0,3649536.0,1.2954588389810635,905.622222222222
2023-06-17 17:31:00,3.0,1.1423649567195422,112410134.0,0.0,4.422222222222222,0.9911577215710512,0.0,3649536.0,1.1147771864417773,765.8444444444442
2023-06-17 17:34:00,3.0,0.9999333799490372,109213288.0,0.0,3.1120915396038256,0.9981773481909826,0.0,3649536.0,0.7189899989614003,515.0648333049187
2023-06-17 17:37:00,3.0,0.5756760609843973,111403764.0,0.0,1.2888888888888888,1.0063703357117617,0.0,3649536.0,0.2836496427108328,233.66666666666663
2023-06-17 17:40:00,2.0,0.129083401858753,81483448.0,0.0,0.2666666666666666,1.0222222222222872,0.0,2306048.0,0.0745729828866763,43.73333333333333
2023-06-17 17:43:00,1.0,0.0232873384870347,88393996.0,0.0,0.0444444444444444,1.1111111111118517,0.0,1052672.0,0.0270338971880047,6.51111111111111
2023-06-17 17:46:00,1.0,0.3534082513569669,59727054.0,0.0,0.5333333333333332,0.9934442763490746,0.0,1052672.0,0.4936537557026649,156.35555555555553
2023-06-17 17:49:00,2.0,1.2463100731584602,72714328.0,0.0222222222222222,1.5777777777777775,1.009668727215123,1.1111111111111096,2072576.0,2.5633327821440006,388.6
2023-06-17 17:52:00,6.0,1.8783809264400704,141421432.0,0.0,5.7333333333333325,1.0156400579043896,0.0,6549504.0,0.9912139410069776,688.4444444444443
2023-06-17 17:55:00,6.0,1.6746272307590857,158314900.0,0.0,7.888888888888888,0.9922350862509944,0.0,6549504.0,0.715386627322443,875.1555555555553
2023-06-17 17:58:00,6.0,1.542847328839973,165550580.0,0.0444444444444444,6.933333333333333,1.0038781867887188,0.9941520467836265,6549504.0,0.7268569340642215,901.7999999999998
2023-06-17 18:01:00,4.0,1.4320809862017776,136878572.0,0.0,4.822222222222222,0.9976738175239008,0.0,4562944.0,0.9666460335409972,760.3555555555555
2023-06-17 18:04:00,3.0,1.0200558208263946,136631968.0,0.0,3.3777777777777773,0.9823908335278474,0.0,4562944.0,0.5986255159763895,516.6444444444443
2023-06-17 18:07:00,3.0,0.5058874304198406,119247126.0,0.0,1.511111111111111,1.0044236273744325,0.0,3543040.0,0.2850435457008946,238.62222222222223
2023-06-17 18:10:00,2.0,0.1061829442536276,124596316.0,0.0,0.3940788888888888,0.7867812071331054,0.0,3543040.0,0.0643833539977815,44.87648111111111
2023-06-17 18:13:00,1.0,0.0331451784856334,101088638.0,0.0,0.0666666666666666,0.9743589743588904,0.0,2203648.0,0.0555097593706502,13.533333333333331
2023-06-17 18:16:00,1.0,0.3378387714788635,71443298.0,0.0,0.4888888888888888,0.9876543209877218,0.0,1052672.0,0.4698946253226721,151.04444444444442
2023-06-17 18:19:00,4.0,1.3947428099020929,77699062.0,0.0222222222222222,1.844444444444444,0.9496973491964008,1.1111111111111116,4837376.0,1.5214844796600022,407.17740888888886
2023-06-17 18:22:00,5.0,2.13793500329428,146117436.0,0.0,4.955555555555556,1.0057261208577053,0.0,5455872.0,0.9133085733449944,668.1999999999998
2023-06-17 18:25:00,5.0,1.605031987529328,145385296.0,0.0,6.822222222222221,0.9948432701778668,0.0,5455872.0,0.8119914480077324,857.511111111111
2023-06-17 18:28:00,4.0,1.4671043986659005,154374682.0,0.02634,6.316748181723918,0.933818457087892,0.7901999999999983,5455872.0,0.9288520112374924,890.5859336592157
2023-06-17 18:31:00,4.0,1.434253065966324,135478434.0,0.0,5.244420741794191,0.9836060586795756,0.0,4366336.0,0.908893510801398,774.9027638277806
2023-06-17 18:34:00,4.0,1.1994860006802914,151114476.0,0.0,3.2444444444444445,1.0035722259432551,0.0,4366336.0,0.6103787890043333,516.0666666666667
2023-06-17 18:37:00,3.0,0.554997977771377,137461860.0,0.0,0.9999999999999998,0.9954433929197262,0.0,3387392.0,0.3008885927808821,238.26666666666665
2023-06-17 18:40:00,2.0,0.125426566817069,141176415.33333334,0.0,0.2740399999999999,0.911245942571625,0.0,3387392.0,0.0581528361475515,47.78669777777778
2023-06-17 18:43:00,1.0,0.0230832477332301,71720718.0,0.0,0.0666666666666666,0.9876543209860948,0.0,1052672.0,0.0385009954133433,9.244444444444444
2023-06-17 18:46:00,1.0,0.3359759157064948,75791558.0,0.0,0.4444444444444444,1.0063897763578902,0.0,1052672.0,0.4732295442746577,153.1111111111111
2023-06-17 18:49:00,4.0,1.3129909792857348,86727680.0,0.0222222222222222,1.4444444444444442,0.9732910819375448,0.8333333333333329,4108288.0,1.393568957847345,403.0364
