Time,pods,cpu,memory,rt,tp,rt_jmeter
2023-03-20 18:13:00,1.0,0.0905580021917883,94273536.0,0.0047999999999999,2.8,21.483130547644016
2023-03-20 18:14:00,1.0,0.1097516630463295,95309824.0,0.0088333333333333,2.4,39.35809914506344
2023-03-20 18:15:00,1.0,0.1111980364821332,96182272.0,0.0092708333333333,7.2,47.66062433605615
2023-03-20 18:16:00,1.0,0.1684984677570676,96264192.0,0.0148,14.267,52.37828326166072
2023-03-20 18:17:00,1.0,0.2285279380349923,96595968.0,0.0172222222222222,19.2,52.17613486216688
2023-03-20 18:18:00,2.0,0.287518645820747,198320128.0,0.0111462791674088,25.991,51.19416548901205
2023-03-20 18:19:00,2.0,0.3868794026258487,196382720.0,0.0089257812499999,38.733,48.05284136206068
2023-03-20 18:20:00,2.0,0.5062335641603802,204120064.0,0.0064329268292682,50.133,56.78277561364541
2023-03-20 18:21:00,3.0,0.5801181701970199,294989824.0,0.0074291044776119,55.933,48.156561559398085
2023-03-20 18:22:00,4.0,0.7596321279665352,394989568.0,0.0081383429565552,66.673,61.13883625619204
2023-03-20 18:23:00,4.0,0.8838479157202082,395255808.0,0.0088075221238938,72.667,49.55857811633156
2023-03-20 18:24:00,5.0,1.0274606589286512,485130240.0,0.0099937533986809,80.661,57.05392981290476
2023-03-20 18:25:00,6.0,1.1743620766109482,582017024.0,0.0099406976744186,83.2,78.88745369873772
2023-03-20 18:26:00,7.0,1.1045326248871223,578330624.0,0.0096095730428873,80.087,57.47468803641386
2023-03-20 18:27:00,7.0,1.2284276485530168,578699264.0,0.0126600534939519,85.044,69.82355039860191
2023-03-20 18:28:00,7.0,1.1977556864391778,577597440.0,0.0096566729237803,80.073,58.54562506517603
2023-03-20 18:29:00,7.0,1.1684580690936843,577019904.0,0.009316651249356,77.625,55.17507735901539
2023-03-20 18:30:00,7.0,1.0634373499188807,575954944.0,0.009301091850252,71.927,52.12036430399322
2023-03-20 18:31:00,7.0,0.975833665077191,576782336.0,0.0080493665541814,65.836,47.40305685350677
2023-03-20 18:32:00,7.0,0.8370707847295774,580919296.0,0.0050893114841786,54.831,146.31128220524667
2023-03-20 18:33:00,7.0,0.7716587733463462,579342336.0,0.0070450678782467,52.474,42.085295379203394
2023-03-20 18:34:00,7.0,0.7171508550217889,579702784.0,0.0061099362960181,42.373,42.35590925915771
2023-03-20 18:35:00,7.0,0.6548873393485832,580280320.0,0.0073056591874078,38.528,42.31434049549844
2023-03-20 18:36:00,7.0,0.6121494735166728,580669440.0,0.0092293814432989,24.0,49.072089821497286
2023-03-20 18:37:00,7.0,0.4941899498545009,580919296.0,0.0094902572903154,16.722,48.152603954400895
2023-03-20 18:38:00,6.0,0.4318930487662514,581353472.0,0.0093176672379597,10.462,46.13314862677106
2023-03-20 18:39:00,6.0,0.3853179840528452,581419008.0,0.0049726939962421,6.33,47.35894900509838
2023-03-20 18:40:00,5.0,0.2915041096806534,487092224.0,0.0048,1.733,37.21708877824438
2023-03-20 18:41:00,5.0,0.2926524303416225,486105088.0,0.00575,3.333,36.72112448183447
2023-03-20 18:42:00,4.0,0.2501450338882119,393224192.0,0.0047999999999999,1.6,33.02026930228208
2023-03-20 18:43:00,4.0,0.2268061369727263,394473472.0,0.0182499999999999,1.133,31.83895855102752
2023-03-20 18:44:00,3.0,0.1821435689677441,299184128.0,0.0047999999999999,2.6,28.86341522462212
2023-03-20 18:45:00,3.0,0.1879323868150711,297816064.0,0.0048844444444444,3.4,33.82606729842984
2023-03-20 18:46:00,3.0,0.2597029436644805,298708992.0,0.0097749999999999,12.067,43.42703911090457
2023-03-20 18:47:00,2.0,0.2854548445271585,203382784.0,0.0091086956521739,20.333,45.119892432191385
2023-03-20 18:48:00,2.0,0.3727870306899473,203673600.0,0.0095185185185185,34.067,47.80305821495658
2023-03-20 18:49:00,2.0,0.4365376362300672,202235904.0,0.0082884082838059,39.821,45.890704369048144
2023-03-20 18:50:00,3.0,0.5131938515166798,304300032.0,0.0097688679245283,45.667,59.45987787388135
2023-03-20 18:51:00,3.0,0.6463696674210091,302637056.0,0.0075416666666666,62.467,42.7288930469373
2023-03-20 18:52:00,4.0,0.7758096907171754,403628032.0,0.0083172043010752,70.267,55.33752133895492
2023-03-20 18:53:00,5.0,0.931723650402696,496275456.0,0.0093389570552147,60.6,49.34876276206416
2023-03-20 18:54:00,5.0,1.0139346217546568,496062464.0,0.0099126960221262,72.954,65.35574353487947
2023-03-20 18:55:00,6.0,1.0893190560505164,595902464.0,0.0089491525423728,79.6,50.73118241137613
2023-03-20 18:56:00,7.0,1.2223846899006314,592470016.0,0.0122610294117647,84.533,55.93248148405856
2023-03-20 18:57:00,7.0,1.2075122388607555,590508032.0,0.0109461538461539,87.0,54.55640810716564
2023-03-20 18:58:00,8.0,1.2083469985402673,591233024.0,0.0097384824527803,85.267,55.49938690630349
2023-03-20 18:59:00,8.0,1.1624731040002294,590008320.0,0.0094659312342987,77.324,51.22307441823533
2023-03-20 19:00:00,8.0,1.11226069381564,590508032.0,0.0088085443037974,79.0,49.45458248594586
2023-03-20 19:01:00,8.0,1.0218454778122863,590721024.0,0.0080247524752475,69.133,47.20889888416013
2023-03-20 19:02:00,8.0,0.8516310411913867,591048704.0,0.0056591499456928,57.496,41.91952259570656
2023-03-20 19:03:00,8.0,0.7585966006298117,591765504.0,0.0059880952380952,52.4,41.09952429369792
2023-03-20 19:04:00,8.0,0.7235157607210032,593125376.0,0.0053194444444444,48.133,40.349185225663184
