Time,conn-pool_jdbc_TradeDataSource,conn-pool_jms_TradeStreamerTCF
2023-05-23 18:22:00,0.0,0.0
2023-05-23 18:25:00,23.875,15.375
2023-05-23 18:28:00,63.33333333333333,51.083333333333336
2023-05-23 18:31:00,99.16666666666666,84.16666666666666
2023-05-23 18:34:00,71.45,62.95
2023-05-23 18:37:00,77.625,70.79166666666667
2023-05-23 18:40:00,84.83333333333334,80.91666666666667
2023-05-23 18:43:00,86.29166666666667,81.375
2023-05-23 18:46:00,88.95,82.5
2023-05-23 18:49:00,91.1875,80.4375
2023-05-23 18:52:00,109.41666666666667,79.91666666666666
2023-05-23 18:55:00,118.0,76.375
2023-05-23 18:58:00,49.083333333333336,34.666666666666664
2023-05-23 19:01:00,67.9375,59.1875
2023-05-23 19:04:00,91.625,84.1875
2023-05-23 19:07:00,96.3125,91.125
2023-05-23 19:10:00,105.9375,100.375
2023-05-23 19:13:00,104.5625,101.375
2023-05-23 19:16:00,92.875,90.5625
2023-05-23 19:19:00,94.4375,85.4375
2023-05-23 19:22:00,107.0,79.08333333333333
2023-05-23 19:25:00,131.625,88.25
2023-05-23 19:28:00,39.75,28.750000000000004
2023-05-23 19:31:00,56.208333333333336,48.708333333333336
2023-05-23 19:34:00,87.16666666666667,78.66666666666666
2023-05-23 19:37:00,97.3125,91.1875
2023-05-23 19:40:00,94.25,90.6875
2023-05-23 19:43:00,89.3125,88.3125
2023-05-23 19:46:00,87.9375,87.0
2023-05-23 19:49:00,90.0,85.41666666666666
2023-05-23 19:52:00,110.25,85.66666666666667
2023-05-23 19:55:00,114.875,73.125
2023-05-23 19:58:00,59.0,47.125
2023-05-23 20:01:00,44.041666666666664,36.458333333333336
2023-05-23 20:04:00,77.08333333333333,67.79166666666667
2023-05-23 20:07:00,84.70833333333334,78.41666666666666
2023-05-23 20:10:00,83.5,82.2
2023-05-23 20:13:00,83.85,83.35
2023-05-23 20:16:00,90.75,85.6875
2023-05-23 20:19:00,82.3125,77.4375
2023-05-23 20:22:00,110.41666666666667,81.83333333333334
2023-05-23 20:25:00,122.625,75.875
2023-05-23 20:28:00,50.5,38.5
2023-05-23 20:31:00,43.0,38.75
2023-05-23 20:34:00,78.625,73.0625
2023-05-23 20:37:00,85.9375,82.9375
2023-05-23 20:40:00,74.85,74.4
2023-05-23 20:43:00,89.8,86.75
2023-05-23 20:46:00,86.6,82.95
2023-05-23 20:49:00,95.16666666666667,85.5
2023-05-23 20:52:00,112.75,78.08333333333334
2023-05-23 20:55:00,103.375,60.625
2023-05-23 20:58:00,50.375,37.0
2023-05-23 21:01:00,35.095238095238095,28.904761904761905
2023-05-23 21:04:00,60.91666666666667,51.833333333333336
2023-05-23 21:07:00,81.41666666666667,70.69444444444444
2023-05-23 21:10:00,89.83333333333333,80.41666666666666
2023-05-23 21:13:00,87.5,82.4
2023-05-23 21:16:00,88.6875,85.8125
2023-05-23 21:19:00,91.5625,83.75
2023-05-23 21:22:00,105.66666666666666,76.08333333333334
2023-05-23 21:25:00,110.75,70.125
2023-05-23 21:28:00,46.625,36.25
2023-05-23 21:31:00,35.82142857142858,28.97619047619047
2023-05-23 21:34:00,62.333333333333336,51.75
2023-05-23 21:37:00,82.88888888888889,73.22222222222223
2023-05-23 21:40:00,86.08333333333333,81.29166666666667
2023-05-23 21:43:00,80.35,79.25
2023-05-23 21:46:00,84.1875,79.9375
2023-05-23 21:49:00,74.625,71.625
2023-05-23 21:52:00,101.0,72.5
2023-05-23 21:55:00,109.0,71.875
2023-05-23 21:58:00,65.16666666666666,51.79166666666667
2023-05-23 22:01:00,55.3125,47.8125
2023-05-23 22:04:00,68.8,61.15
2023-05-23 22:07:00,85.55,80.35
2023-05-23 22:10:00,92.9,86.65
2023-05-23 22:13:00,86.6,81.45
2023-05-23 22:16:00,93.3125,88.125
2023-05-23 22:19:00,99.58333333333333,89.16666666666667
2023-05-23 22:22:00,114.41666666666666,86.25
2023-05-23 22:25:00,118.5,78.875
2023-05-23 22:28:00,53.75,39.625
2023-05-23 22:31:00,44.0,38.8125
2023-05-23 22:34:00,65.85,60.05
2023-05-23 22:37:00,88.8,84.35
2023-05-23 22:40:00,90.55,88.65
2023-05-23 22:43:00,84.4375,82.6875
2023-05-23 22:46:00,82.875,83.875
2023-05-23 22:49:00,89.83333333333333,85.08333333333333
2023-05-23 22:52:00,99.91666666666667,80.5
2023-05-23 22:55:00,85.125,58.625
2023-05-23 22:58:00,81.25,64.5
2023-05-23 23:01:00,35.875,28.75
2023-05-23 23:04:00,65.625,56.91666666666667
2023-05-23 23:07:00,82.25,74.75
2023-05-23 23:10:00,85.7,79.65
2023-05-23 23:13:00,85.0,81.55
2023-05-23 23:16:00,89.5625,86.375
2023-05-23 23:19:00,88.6875,81.6875
2023-05-23 23:22:00,103.0,81.0
2023-05-23 23:25:00,102.5,68.875
2023-05-23 23:28:00,44.875,34.5
2023-05-23 23:31:00,35.32142857142857,28.65476190476191
2023-05-23 23:34:00,70.125,59.96875
2023-05-23 23:37:00,86.96875,76.78125
2023-05-23 23:40:00,84.125,75.41666666666667
2023-05-23 23:43:00,78.625,73.625
2023-05-23 23:46:00,77.35,73.8
2023-05-23 23:49:00,79.6875,74.625
2023-05-23 23:52:00,92.58333333333334,72.5
2023-05-23 23:55:00,101.875,69.0
2023-05-23 23:58:00,55.5,41.375
2023-05-24 00:01:00,33.36904761904762,28.309523809523807
2023-05-24 00:04:00,68.28571428571429,61.17857142857143
2023-05-24 00:07:00,86.60714285714286,81.14285714285715
2023-05-24 00:10:00,84.58333333333333,80.33333333333334
2023-05-24 00:13:00,81.5,80.8
2023-05-24 00:16:00,84.35,80.4
2023-05-24 00:19:00,83.3125,79.20833333333333
2023-05-24 00:22:00,104.75,79.08333333333333
2023-05-24 00:25:00,98.375,59.125
2023-05-24 00:28:00,95.0,68.0
2023-05-24 00:31:00,28.708333333333332,33.1875
2023-05-24 00:34:00,51.46875,44.0625
2023-05-24 00:37:00,80.21875,73.625
2023-05-24 00:40:00,91.0,87.16666666666666
2023-05-24 00:43:00,89.45,89.6
2023-05-24 00:46:00,87.3125,87.5
2023-05-24 00:49:00,89.5,86.9375
2023-05-24 00:52:00,106.91666666666666,88.33333333333333
2023-05-24 00:55:00,115.0,76.25
2023-05-24 00:58:00,66.33333333333333,53.0
2023-05-24 01:01:00,48.75,41.55
2023-05-24 01:04:00,63.75,57.17857142857143
2023-05-24 01:07:00,82.57142857142858,74.28571428571429
2023-05-24 01:10:00,85.45,80.25
2023-05-24 01:13:00,89.3,82.6
2023-05-24 01:16:00,85.85,82.65
2023-05-24 01:19:00,92.58333333333333,80.91666666666667
2023-05-24 01:22:00,101.66666666666666,67.58333333333333
2023-05-24 01:25:00,112.25,66.375
2023-05-24 01:28:00,50.875,37.75
2023-05-24 01:31:00,32.083333333333336,26.51190476190476
2023-05-24 01:34:00,59.416666666666664,50.72222222222222
2023-05-24 01:37:00,83.16666666666667,74.94444444444444
2023-05-24 01:40:00,90.76388888888889,81.27777777777777
2023-05-24 01:43:00,90.25,84.1
2023-05-24 01:46:00,80.9375,77.5
2023-05-24 01:49:00,82.6875,75.125
2023-05-24 01:52:00,104.33333333333334,68.66666666666667
2023-05-24 01:55:00,118.625,68.125
2023-05-24 01:58:00,107.25,87.0
2023-05-24 02:01:00,30.5,24.071428571428573
2023-05-24 02:04:00,61.03124999999999,52.96875
2023-05-24 02:07:00,85.46875,78.5625
2023-05-24 02:10:00,91.20833333333333,82.875
2023-05-24 02:13:00,85.70833333333333,78.04166666666667
2023-05-24 02:16:00,82.55,77.55
2023-05-24 02:19:00,88.75,82.6875
2023-05-24 02:22:00,116.25,88.41666666666667
2023-05-24 02:25:00,113.125,81.125
2023-05-24 02:28:00,44.25,67.5
2023-05-24 02:31:00,33.66666666666667,28.875
2023-05-24 02:34:00,69.95833333333333,63.58333333333333
2023-05-24 02:37:00,85.125,81.29166666666666
2023-05-24 02:40:00,88.1,84.35
2023-05-24 02:43:00,84.4,82.55
2023-05-24 02:46:00,87.9375,84.5625
2023-05-24 02:49:00,87.1875,80.5
2023-05-24 02:52:00,111.25,83.41666666666666
2023-05-24 02:55:00,112.25,74.75
2023-05-24 02:58:00,88.5,69.0
2023-05-24 03:01:00,35.625,44.5
2023-05-24 03:04:00,55.361111111111114,46.94444444444444
2023-05-24 03:07:00,78.05555555555556,70.02777777777777
2023-05-24 03:10:00,87.25,79.96428571428572
2023-05-24 03:13:00,89.25,81.4
2023-05-24 03:16:00,86.4,79.05
2023-05-24 03:19:00,87.0,78.125
2023-05-24 03:22:00,106.41666666666666,76.91666666666667
2023-05-24 03:25:00,110.375,68.125
2023-05-24 03:28:00,44.625,31.25
2023-05-24 03:31:00,30.845238095238095,25.773809523809526
2023-05-24 03:34:00,61.84375,52.09375
2023-05-24 03:37:00,80.0,70.81250000000001
2023-05-24 03:40:00,86.6,79.35
2023-05-24 03:43:00,80.9,76.65
2023-05-24 03:46:00,76.7,75.0
2023-05-24 03:49:00,82.125,75.89583333333333
2023-05-24 03:52:00,103.58333333333334,79.16666666666666
2023-05-24 03:55:00,106.875,71.08333333333334
2023-05-24 03:58:00,56.25,39.958333333333336
2023-05-24 04:01:00,40.75,34.208333333333336
2023-05-24 04:04:00,77.125,68.08333333333333
2023-05-24 04:07:00,86.75,79.79166666666667
2023-05-24 04:10:00,87.85,82.15
2023-05-24 04:13:00,90.35,83.45
2023-05-24 04:16:00,83.5,77.85
2023-05-24 04:19:00,87.125,76.875
2023-05-24 04:22:00,117.83333333333334,83.41666666666667
2023-05-24 04:25:00,114.25,68.875
2023-05-24 04:28:00,49.75,37.75
2023-05-24 04:31:00,37.392857142857146,30.714285714285715
2023-05-24 04:34:00,71.34374999999999,62.4375
2023-05-24 04:37:00,79.625,73.09375
2023-05-24 04:40:00,83.79166666666667,78.5
2023-05-24 04:43:00,86.6,81.25
2023-05-24 04:46:00,88.125,82.8125
2023-05-24 04:49:00,92.72916666666667,87.75
2023-05-24 04:52:00,110.75,79.83333333333333
2023-05-24 04:55:00,109.375,72.66666666666666
2023-05-24 04:58:00,41.875,65.25
2023-05-24 05:01:00,37.56666666666666,32.25
2023-05-24 05:04:00,58.21428571428571,51.64285714285714
2023-05-24 05:07:00,81.21428571428571,76.32142857142857
2023-05-24 05:10:00,88.75,86.0
2023-05-24 05:13:00,86.95,86.9
2023-05-24 05:16:00,84.6,85.6
2023-05-24 05:19:00,92.625,87.375
2023-05-24 05:22:00,107.91666666666667,89.25
2023-05-24 05:25:00,107.375,78.375
2023-05-24 05:28:00,44.625,68.25
2023-05-24 05:31:00,45.39583333333333,38.66666666666667
2023-05-24 05:34:00,55.107142857142854,50.0
2023-05-24 05:37:00,76.35714285714285,70.60714285714286
2023-05-24 05:40:00,82.9,78.7
2023-05-24 05:43:00,88.35,82.75
2023-05-24 05:46:00,92.8,87.05
2023-05-24 05:49:00,99.66666666666667,89.91666666666667
2023-05-24 05:52:00,111.58333333333334,81.08333333333333
2023-05-24 05:55:00,99.375,60.125
2023-05-24 05:58:00,47.125,37.0
2023-05-24 06:01:00,33.25,26.714285714285715
2023-05-24 06:04:00,72.39285714285714,61.75
2023-05-24 06:07:00,82.28571428571429,72.25
2023-05-24 06:10:00,85.5,79.7
2023-05-24 06:13:00,84.15,79.2
2023-05-24 06:16:00,86.3125,82.875
2023-05-24 06:19:00,90.58333333333333,85.25
2023-05-24 06:22:00,106.75,78.25
