Time,pods,cpu,memory,rt,tp,rt_jmeter
2023-03-20 21:50:00,1.0,0.0166150492502165,66510848.0,0.0,0.0,22.8869537230337
2023-03-20 21:51:00,1.0,0.0188269607006744,67338240.0,0.000475,1.0,31.60282837811576
2023-03-20 21:52:00,1.0,0.0212934791720664,67780608.0,0.0004932692307692,1.8,41.89645138882854
2023-03-20 21:53:00,1.0,0.031006756759152,68608000.0,0.0039090909090909,8.067,66.93464374626527
2023-03-20 21:54:00,1.0,0.0352904555539963,68747264.0,0.0013599999999999,5.867,51.31232142824499
2023-03-20 21:55:00,1.0,0.0490294020396575,68141056.0,0.0033571428571428,9.067,54.92501047322117
2023-03-20 21:56:00,1.0,0.0592602834043308,67579904.0,0.0028599999999999,14.289,48.13967873334707
2023-03-20 21:57:00,1.0,0.0759803616992263,68280320.0,0.0004990709459459,20.733,43.62491384914404
2023-03-20 21:58:00,1.0,0.0848939801516868,68771840.0,0.0004991766467065,23.467,66.213655101431
2023-03-20 21:59:00,1.0,0.1035052915517229,68927488.0,0.0019599999999999,27.867,48.4803740048097
2023-03-20 22:00:00,1.0,0.1185420270099433,68538368.0,0.0033833333333333,28.6,53.78321577153354
2023-03-20 22:01:00,1.0,0.1331273320655228,68624384.0,0.004152688172043,33.0,78.15752875173457
2023-03-20 22:02:00,1.0,0.1243983036024338,68833280.0,0.0041555555555555,33.533,61.9843882753346
2023-03-20 22:03:00,1.0,0.1377442101004366,68579328.0,0.0035441176470588,33.051,61.20376441758894
2023-03-20 22:04:00,1.0,0.1359931537102289,68472832.0,0.0037820512820512,34.0,55.82371600489176
2023-03-20 22:05:00,1.0,0.1315329211364474,68521984.0,0.0040333333333333,32.533,55.63103179429948
2023-03-20 22:06:00,1.0,0.1286247943480626,68812800.0,0.0031066666666666,31.068,51.100730007036304
2023-03-20 22:07:00,1.0,0.1190202367016487,69132288.0,0.001448,29.933,46.68190714204511
2023-03-20 22:08:00,1.0,0.1067711535507868,69636096.0,0.0016260869565217,26.867,44.13471270686779
2023-03-20 22:09:00,1.0,0.0863573182157111,69509120.0,0.0010705882352941,23.6,44.4677899102262
2023-03-20 22:10:00,1.0,0.0833422876807529,69939200.0,0.0004930379746835,21.933,42.37901267528733
2023-03-20 22:11:00,1.0,0.071195008801078,68792320.0,0.0004981003039513,17.972,43.28318232869792
2023-03-20 22:12:00,1.0,0.0586203510415542,69099520.0,0.0023,16.667,45.89949855001675
2023-03-20 22:13:00,1.0,0.0525642332449206,69255168.0,0.0037,10.267,48.43977611543777
2023-03-20 22:14:00,1.0,0.0382802831063383,69312512.0,0.0041519999999999,6.4,54.416530255368414
2023-03-20 22:15:00,1.0,0.0297022413938565,69509120.0,0.0024333333333333,4.733,47.57487277773821
2023-03-20 22:16:00,1.0,0.0225852221009597,69574656.0,0.0004970930232558,2.267,47.19461219518377
2023-03-20 22:17:00,1.0,0.0174826920145851,69767168.0,0.000475,1.0,37.114638752953965
2023-03-20 22:18:00,1.0,0.0170864270615328,70008832.0,0.000475,1.067,36.406492243025816
2023-03-20 22:19:00,1.0,0.0165878721484085,69943296.0,0.000475,1.2,37.16912100095179
2023-03-20 22:20:00,1.0,0.0160914587710345,69877760.0,0.000475,0.933,32.466376133786845
2023-03-20 22:21:00,1.0,0.0157784635959956,69971968.0,0.0027999999999999,1.067,32.52382512787724
2023-03-20 22:22:00,1.0,0.0191260201885522,70414336.0,0.0004965909090909,1.267,37.68278788415614
2023-03-20 22:23:00,1.0,0.0236418706122374,70295552.0,0.0026499999999999,4.533,40.716818278632886
2023-03-20 22:24:00,1.0,0.0401305004808675,70012928.0,0.0027799999999999,8.321,45.24282678851421
2023-03-20 22:25:00,1.0,0.0542638118015676,70307840.0,0.0028399999999999,14.667,47.30080669946425
2023-03-20 22:26:00,1.0,0.0616060761017756,70766592.0,0.0029916666666666,16.333,46.244906007783726
2023-03-20 22:27:00,1.0,0.0707093598301329,71274496.0,0.0004940693430656,19.171,42.56804480876054
2023-03-20 22:28:00,1.0,0.0882807501540289,71024640.0,0.0036702702702702,25.067,68.68889928728953
2023-03-20 22:29:00,1.0,0.0946747752550229,71360512.0,0.0004918838862559,28.848,45.047660166665
2023-03-20 22:30:00,1.0,0.1194509600398156,71000064.0,0.0031559999999999,30.8,53.770437610392456
2023-03-20 22:31:00,1.0,0.1192257560978096,71057408.0,0.0019384615384615,30.142,59.74474488484356
2023-03-20 22:32:00,1.0,0.1265049823385768,70123520.0,0.0038057142857142,32.733,54.60482211694219
2023-03-20 22:33:00,1.0,0.1376484006243998,70201344.0,0.0037142857142857,35.788,388.1714539344084
2023-03-20 22:34:00,1.0,0.1440511227073708,70946816.0,0.0038651162790697,36.333,55.07892629345282
2023-03-20 22:35:00,1.0,0.1413559522931477,70868992.0,0.0037223880597014,33.6,55.71761835426808
2023-03-20 22:36:00,1.0,0.1331823223455607,70799360.0,0.0033531914893616,33.267,50.70234772472142
2023-03-20 22:37:00,1.0,0.1299026441963688,70815744.0,0.0036295081967213,32.329,48.38613875887762
2023-03-20 22:38:00,1.0,0.1094528792256715,70873088.0,0.0004969586374695,28.333,46.33757067039512
2023-03-20 22:39:00,1.0,0.0879993361526686,70381568.0,0.0004941091954022,24.133,42.03384199223255
2023-03-20 22:40:00,1.0,0.08174018865346,70782976.0,0.0004943220338983,20.733,40.59900460921217
2023-03-20 22:41:00,1.0,0.0707761475627705,70602752.0,0.000489590443686,19.9,40.83104982695056
2023-03-20 22:42:00,1.0,0.059216081086779,71254016.0,0.0004980176211453,15.2,41.85081514332296
