Time,conn-pool_jms_TradeStreamerTCF,conn-pool_jdbc_TradeDataSource
2023-05-25 07:18:00,4.666666666666666,9.0
2023-05-25 07:19:00,14.75,23.0
2023-05-25 07:20:00,28.5,38.0
2023-05-25 07:21:00,39.5,52.0
2023-05-25 07:22:00,60.25,75.0
2023-05-25 07:23:00,42.25,54.25
2023-05-25 07:24:00,50.0,55.625
2023-05-25 07:25:00,42.0,48.111111111111114
2023-05-25 07:26:00,54.0,61.916666666666664
2023-05-25 07:27:00,57.58333333333333,61.41666666666667
2023-05-25 07:28:00,67.41666666666666,75.41666666666667
2023-05-25 07:29:00,78.16666666666667,85.83333333333334
2023-05-25 07:30:00,77.5,81.5
2023-05-25 07:31:00,84.41666666666667,88.91666666666667
2023-05-25 07:32:00,91.5,96.83333333333333
2023-05-25 07:33:00,87.58333333333333,88.0
2023-05-25 07:34:00,89.41666666666667,89.66666666666667
2023-05-25 07:35:00,92.41666666666667,95.91666666666667
2023-05-25 07:36:00,91.41666666666667,90.0
2023-05-25 07:37:00,94.58333333333333,92.33333333333333
2023-05-25 07:38:00,92.25,94.33333333333333
2023-05-25 07:39:00,85.0,83.91666666666666
2023-05-25 07:40:00,87.91666666666666,87.5
2023-05-25 07:41:00,86.16666666666667,87.41666666666666
2023-05-25 07:42:00,80.91666666666667,78.75
2023-05-25 07:43:00,82.91666666666667,82.58333333333333
2023-05-25 07:44:00,85.25,92.75
2023-05-25 07:45:00,79.91666666666667,89.58333333333334
2023-05-25 07:46:00,84.41666666666666,101.91666666666667
2023-05-25 07:47:00,83.41666666666667,115.58333333333333
2023-05-25 07:48:00,77.5,119.5
2023-05-25 07:49:00,83.83333333333333,133.58333333333331
2023-05-25 07:50:00,86.25,129.875
2023-05-25 07:51:00,73.25,98.125
2023-05-25 07:52:00,79.125,111.75
2023-05-25 07:53:00,103.0,135.5
2023-05-25 07:54:00,47.125,49.875
2023-05-25 07:55:00,59.75,68.125
2023-05-25 07:56:00,72.125,81.75
2023-05-25 07:57:00,67.5,70.125
2023-05-25 07:58:00,76.5,85.0
2023-05-25 07:59:00,92.375,102.0
2023-05-25 08:00:00,53.33333333333333,56.41666666666667
2023-05-25 08:01:00,61.58333333333333,67.33333333333333
2023-05-25 08:02:00,75.08333333333334,80.66666666666666
2023-05-25 08:03:00,64.0,50.6875
2023-05-25 08:04:00,60.25,65.125
2023-05-25 08:05:00,73.875,79.125
2023-05-25 08:06:00,67.8125,68.9375
2023-05-25 08:07:00,76.25,78.25
2023-05-25 08:08:00,89.4375,91.1875
2023-05-25 08:09:00,80.625,79.125
2023-05-25 08:10:00,79.4375,81.3125
2023-05-25 08:11:00,93.25,95.0
2023-05-25 08:12:00,86.5,82.875
2023-05-25 08:13:00,81.5,85.4375
2023-05-25 08:14:00,95.25,101.5625
2023-05-25 08:15:00,83.9375,91.625
2023-05-25 08:16:00,85.41666666666667,106.58333333333334
2023-05-25 08:17:00,95.66666666666667,126.58333333333334
2023-05-25 08:18:00,70.75,106.66666666666666
2023-05-25 08:19:00,66.66666666666667,110.0
2023-05-25 08:20:00,84.75,125.25
2023-05-25 08:21:00,59.5,83.75
2023-05-25 08:22:00,63.25,96.375
2023-05-25 08:23:00,92.5,128.5
2023-05-25 08:24:00,46.125,50.5
2023-05-25 08:25:00,55.375,65.0
2023-05-25 08:26:00,68.75,78.75
2023-05-25 08:27:00,67.75,69.875
2023-05-25 08:28:00,55.55555555555556,61.30555555555556
2023-05-25 08:29:00,68.75,75.75
2023-05-25 08:30:00,67.91666666666667,71.16666666666667
2023-05-25 08:31:00,71.16666666666666,77.83333333333333
2023-05-25 08:32:00,84.33333333333334,91.08333333333334
2023-05-25 08:33:00,84.16666666666667,87.25
2023-05-25 08:34:00,78.66666666666666,84.33333333333333
2023-05-25 08:35:00,89.91666666666667,95.08333333333334
2023-05-25 08:36:00,90.08333333333334,90.83333333333333
2023-05-25 08:37:00,79.83333333333334,84.5
2023-05-25 08:38:00,89.83333333333334,93.58333333333334
2023-05-25 08:39:00,90.5,90.33333333333334
2023-05-25 08:40:00,80.33333333333333,80.58333333333334
2023-05-25 08:41:00,88.66666666666667,89.91666666666666
2023-05-25 08:42:00,86.16666666666667,83.91666666666666
2023-05-25 08:43:00,77.25,80.0
