Strategy,Forecasting Horizon,Performance (V),Vmax,C,Cmax,AE0.5
pk,1m,64.31873980944245,185.484773894618,7571.0,9412.0,0.5755794268013568
pk,3m,185.484773894618,185.484773894618,7562.0,9412.0,0.9017212069698257
pk,5m,66.213655101431,185.484773894618,7561.0,9412.0,0.5801561977429606
ml,1m,48.56287047653681,185.484773894618,4503.0,9412.0,0.3701238647202455
ml,3m,49.21028105889327,185.484773894618,4546.0,9412.0,0.3741533678605609
ml,5m,50.16519836818307,185.484773894618,4445.0,9412.0,0.371361989387867
