Time,conn-pool_jms_TradeStreamerTCF,conn-pool_jdbc_TradeDataSource
2023-06-08 12:00:00,7.25,10.75
2023-06-08 12:01:00,22.25,29.25
2023-06-08 12:02:00,40.0,52.5
2023-06-08 12:03:00,56.75,70.75
2023-06-08 12:04:00,38.625,48.708333333333336
2023-06-08 12:05:00,34.5,46.833333333333336
2023-06-08 12:06:00,30.75,39.1875
2023-06-08 12:07:00,44.625,53.9375
2023-06-08 12:08:00,59.625,70.125
2023-06-08 12:09:00,61.12499999999999,71.375
2023-06-08 12:10:00,73.875,81.9375
2023-06-08 12:11:00,84.5625,93.5
2023-06-08 12:12:00,78.3125,85.25
2023-06-08 12:13:00,83.9375,87.125
2023-06-08 12:14:00,92.0625,98.0625
2023-06-08 12:15:00,78.0,81.5
2023-06-08 12:16:00,86.8125,87.5625
2023-06-08 12:17:00,91.6875,95.5625
2023-06-08 12:18:00,78.875,82.75
2023-06-08 12:19:00,89.625,90.5
2023-06-08 12:20:00,97.5,100.25
2023-06-08 12:21:00,81.8125,84.375
2023-06-08 12:22:00,89.9375,89.625
2023-06-08 12:23:00,95.4375,99.0
2023-06-08 12:24:00,82.75,87.4375
2023-06-08 12:25:00,87.4375,92.3125
2023-06-08 12:26:00,89.1875,99.0625
2023-06-08 12:27:00,76.33333333333333,96.33333333333333
2023-06-08 12:28:00,81.25,105.66666666666666
2023-06-08 12:29:00,83.41666666666667,117.75
2023-06-08 12:30:00,68.25,113.5
2023-06-08 12:31:00,69.75,111.25
2023-06-08 12:32:00,73.0,120.75
2023-06-08 12:33:00,74.0,112.75
2023-06-08 12:34:00,79.625,104.375
2023-06-08 12:35:00,87.375,115.375
2023-06-08 12:36:00,84.75,99.875
2023-06-08 12:37:00,94.5,101.375
2023-06-08 12:38:00,103.625,77.41666666666666
2023-06-08 12:39:00,69.58333333333333,77.66666666666667
2023-06-08 12:40:00,50.49999999999999,55.45
2023-06-08 12:41:00,57.45,64.35
2023-06-08 12:42:00,61.4,68.0
2023-06-08 12:43:00,70.0,73.9
2023-06-08 12:44:00,78.7,84.35
2023-06-08 12:45:00,78.5,84.9
2023-06-08 12:46:00,83.0,84.75
2023-06-08 12:47:00,85.15,87.1
2023-06-08 12:48:00,82.95,87.35
2023-06-08 12:49:00,82.7,82.2
2023-06-08 12:50:00,83.35,85.5
2023-06-08 12:51:00,79.0,83.15
2023-06-08 12:52:00,85.9375,87.5
2023-06-08 12:53:00,89.0,91.0625
2023-06-08 12:54:00,81.75,86.0
2023-06-08 12:55:00,83.375,85.4375
2023-06-08 12:56:00,91.08333333333333,98.83333333333334
2023-06-08 12:57:00,89.33333333333333,101.91666666666667
2023-06-08 12:58:00,85.83333333333333,102.16666666666667
2023-06-08 12:59:00,79.41666666666667,106.58333333333334
2023-06-08 13:00:00,68.875,101.125
2023-06-08 13:01:00,66.625,96.875
2023-06-08 13:02:00,70.125,108.625
2023-06-08 13:03:00,62.375,95.25
2023-06-08 13:04:00,68.625,91.75
2023-06-08 13:05:00,73.375,99.0
2023-06-08 13:06:00,75.0,95.375
2023-06-08 13:07:00,78.125,87.5
2023-06-08 13:08:00,58.83333333333333,69.66666666666667
2023-06-08 13:09:00,60.083333333333336,70.91666666666667
2023-06-08 13:10:00,53.0,58.375
2023-06-08 13:11:00,61.8125,69.0625
2023-06-08 13:12:00,69.75,76.75
2023-06-08 13:13:00,79.5625,83.4375
2023-06-08 13:14:00,86.625,91.6875
2023-06-08 13:15:00,85.25,88.75
2023-06-08 13:16:00,87.875,88.9375
2023-06-08 13:17:00,89.0,93.5
2023-06-08 13:18:00,85.0625,91.375
2023-06-08 13:19:00,83.375,86.625
2023-06-08 13:20:00,83.5625,89.5
2023-06-08 13:21:00,82.9375,88.0
