Time,heap
2023-05-23 18:23:00,536870912.0
2023-05-23 18:24:00,1073741824.0
2023-05-23 18:25:00,1610612736.0
2023-05-23 18:26:00,1610612736.0
2023-05-23 18:27:00,1610612736.0
2023-05-23 18:28:00,1610612736.0
2023-05-23 18:29:00,1610612736.0
2023-05-23 18:30:00,1610612736.0
2023-05-23 18:31:00,1610612736.0
2023-05-23 18:32:00,2147483648.0
2023-05-23 18:33:00,2684354560.0
2023-05-23 18:34:00,2684354560.0
2023-05-23 18:35:00,3221225472.0
2023-05-23 18:36:00,3221225472.0
2023-05-23 18:37:00,3221225472.0
2023-05-23 18:38:00,3221225472.0
2023-05-23 18:39:00,3221225472.0
2023-05-23 18:40:00,3221225472.0
2023-05-23 18:41:00,3221225472.0
2023-05-23 18:42:00,3221225472.0
2023-05-23 18:43:00,3221225472.0
2023-05-23 18:44:00,2684354560.0
2023-05-23 18:45:00,2684354560.0
2023-05-23 18:46:00,2684354560.0
2023-05-23 18:47:00,2684354560.0
2023-05-23 18:48:00,2147483648.0
2023-05-23 18:49:00,2147483648.0
2023-05-23 18:50:00,2147483648.0
2023-05-23 18:51:00,1610612736.0
2023-05-23 18:52:00,1610612736.0
2023-05-23 18:53:00,1610612736.0
2023-05-23 18:54:00,1073741824.0
2023-05-23 18:55:00,1073741824.0
2023-05-23 18:56:00,1610612736.0
2023-05-23 18:57:00,1073741824.0
2023-05-23 18:58:00,1610612736.0
2023-05-23 18:59:00,2147483648.0
2023-05-23 19:00:00,2147483648.0
2023-05-23 19:01:00,2147483648.0
2023-05-23 19:02:00,2147483648.0
2023-05-23 19:03:00,2147483648.0
2023-05-23 19:04:00,2147483648.0
2023-05-23 19:05:00,2147483648.0
2023-05-23 19:06:00,2147483648.0
2023-05-23 19:07:00,2147483648.0
2023-05-23 19:08:00,2147483648.0
2023-05-23 19:09:00,2147483648.0
2023-05-23 19:10:00,2147483648.0
2023-05-23 19:11:00,2147483648.0
2023-05-23 19:12:00,2147483648.0
2023-05-23 19:13:00,2147483648.0
2023-05-23 19:14:00,2147483648.0
2023-05-23 19:15:00,2147483648.0
2023-05-23 19:16:00,2147483648.0
2023-05-23 19:17:00,2147483648.0
2023-05-23 19:18:00,2147483648.0
2023-05-23 19:19:00,2147483648.0
2023-05-23 19:20:00,1610612736.0
2023-05-23 19:21:00,1610612736.0
2023-05-23 19:22:00,1610612736.0
2023-05-23 19:23:00,1073741824.0
2023-05-23 19:24:00,1073741824.0
